Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
NameVerticalAlignment,string,(not set - empty string),Map,Map item text configuration,,,,9.7.3,Baseline,,,,,,,,"Controls vertical positioning of map icon's title. \nPossible values include:\n* """" (i.e. no value): Title ($Name) is centred if there is no subtitle, top-aligned if there is a subtitle\n* center: Title is centred, even if there is a subtitle\n* top: Title is top-aligned\n* bottom: Title is bottom-aligned, allowing space as needed by subtitle","マップ アイコンのタイトルの垂直位置を制御します。\n可能な値は次のとおりです。\n* """" (値なし): タイトル ($Name) は、サブタイトルがない場合は中央揃え、サブタイトルがある場合は上揃えになります。\n* center: サブタイトルがあっても、タイトルが中央に配置されます。\n* top: タイトルが上揃えになります\n* 下部: タイトルが下揃えになり、サブタイトルに必要なスペースが確保されます。"
NeverComposite,boolean,true,Composites,Composite configuration,,,true,7.0.0,Baseline,,,,,,,,"Exclude a note from all composites.\nBy setting the default value of $NeverComposite to true, composites can be turned off throughout a document.\nIn new documents, the default value of $NeverComposite is initially true. Prior to v9 the default was false. Pre-existing documents will retain their current default.",すべてのコンポジットからノートを除外します。\n$NeverComposite のデフォルト値を true に設定すると、ドキュメント全体でコンポジットをオフにすることができます。\n新しいドキュメントでは、$NeverComposite のデフォルト値は最初は true です。v9 より前では、デフォルトは false でした。既存のドキュメントは現在のデフォルトを保持します。
NLNames,set,(not set - empty string),AI,Natural Language Processing,,,,7.5.0,Baseline,,,,,,,,A set of personal names found in the text using Natural Language Processing.,自然言語処理を使用してテキスト内で検出された個人名のセット。
NLOrganizations,set,(not set - empty string),AI,Natural Language Processing,,,,7.5.0,Baseline,,,,,,,,A set of the names of organisations found in the text using Natural Language Processing.,自然言語処理を使用してテキスト内で見つかった組織名のセット。
NLPlaces,set,(not set - empty string),AI,Natural Language Processing,,,,7.5.0,Baseline,,,,,,,,A set of place names found in the text using Natural Language Processing.,自然言語処理を使用してテキスト内で見つかった一連の地名のセット。
NLTags,set,(not set - empty string),AI,Natural Language Processing,,,,8.0.5,Baseline,,,,,,,,"A set-type attribute to hold annotations automatically generated using Natural Language Processing.\nThe first such annotation adds the tag 'plan' to notes that Tinderbox believes might represent a planning note, such as ""remember to deposit the cheque"" or ""remind the freshers to begin planning their module essays"".",自然言語処理を使用して自動的に生成された注釈を保持するセットタイプの属性。\n最初のそのような注釈は、Tinderbox が「小切手の入金を忘れないように」または「新入生にモジュールエッセイの計画を開始するよう思い出させる」などの計画メモを表す可能性があると考えられるメモにタグ「計画」を追加します。
NoSpellling,boolean,false,TextFormat,Note text,,,,5.10.1,Baseline,,,,,,,true,"Allows notes to be ignored during spell checks.\nif a document is set to 'check spelling as you type', setting $NoSpelling to true will cause that note to be ignored.\nDefault is 'false', i.e. the note is included in spell checks to maintain previous behaviour.\n$NoSpelling can be set for the current note via the Text Inspector ▸ Text tab, 'Bold' tick-box control.",スペルチェック中にメモを無視できるようにします。\nドキュメントが「入力時にスペルをチェックする」ように設定されている場合、$NoSpelling を true に設定すると、そのメモは無視されます。\nデフォルトは「false」です。つまり、メモは以前の動作を維持するためにスペルチェックに含まれます。\n$NoSpelling は、[テキスト インスペクター] ▸ [テキスト] タブの [太字] チェック ボックス コントロールを使用して、現在のメモに設定できます。
NotesFolder,string,(not set - empty string),Watch,Data synch,,,,7.3.0,Baseline,,,,,,,,The name of an Apple Notes folder used by a watched folder. \nIndividual synced Notes within the watched folder use $NotesID and $NotesModified.,監視フォルダーで使用される Apple Notes フォルダーの名前。\n監視フォルダー内の個々の同期されたメモは、$NotesID と $NotesModified を使用します。
NotesID,string,(not set - empty string),Watch,Data synch,,,,7.3.0,Baseline,,,,,,,,A unique source ID of Notes imported via a Notes watched folder.\nThe source Notes folder is held in $NotesFolder.,Notes 監視フォルダー経由でインポートされた Notes の一意のソース ID。\nソース Notes フォルダーは $NotesFolder に保持されます。
NotesModified,date,(not set - never),Watch,Data synch,,,,7.3.0,Baseline,,,,,,,,The latest modification date/time of a Note imported/synced via a Notes or Finder watched folder.\nThe source Notes folder is held in $NotesFolder.,Notes または Finder 監視フォルダー経由でインポート/同期されたノートの最新の変更日時。\nソース Notes フォルダーは $NotesFolder に保持されます。
NoteURL,string,(not set - empty string),Net,Data synch,,true,,6.4.0,Baseline,,,,,,,,Pseudo-url (tinderbox://) URL for current note.\nA read-only attribute exposing the pseudo-url tinderbox:// allowing access the current note from other programs.\nThis attribute is transferred when pasting notes to DEVONThink v2.8.8+.,疑似 URL (tinderbox://) 現在のメモの URL。\n他のプログラムから現在のメモにアクセスできるようにする疑似 URL tinderbox:// を公開する読み取り専用属性。\nこの属性は、メモを DEVONThink v2.8.8+ に貼り付けるときに転送されます。
OnAdd,action,(not set - empty string),General,Action code,,,,1.0.0,Baseline,,,,,,,true,"Action code expression executed when a note becomes child of the current note, be it new or moved there by dragging. \nAdornments also offer 'OnAdd' action support. Although it takes a string argument, the string must be valid action syntax.\n$OnAdd actions are applied to each item of a multiple-item drag, even if the dragged notes originate in a different file. The $OnAdd action is applied only once, when a note is created inside a container, or is moved into a container from some other container. This stops $OnAdd being re-applied for actions like moving a note on a Map and where $OnAdd may have iterative effects on a note if re-applied. Pasting a note into a container runs the $OnAdd action.\nThe container's $OnAdd action acts on both newly-made notes and agents.\nFor agents, $OnAdd is replaced by $AgentAction (though not in smart adornments)\nAdornments show a slightly different behaviour. Here, the $OnAdd is re-triggered if a note is moved manually within the adornment, i.e. never leaves it, as the move effectively takes the note out of the adornment (start of move) and adds it back at the end of the move. However, if notes are moved automatically within an adornment due to adornment sorting, or by an external action altering $Xpos/$Ypos, the adornment's $OnAdd is not run again.\n$OnAdd (or $AgentAction for agents) for the current note can be set via the Action Inspector ▸ Action tab, code input box.",新しいノートであるかドラッグしてそこに移動されたノートであるかにかかわらず、ノートが現在のノートの子になるときに実行されるアクション コード式。\n装飾品は「OnAdd」アクションのサポートも提供します。文字列引数を受け取りますが、その文字列は有効なアクション構文である必要があります。\n$OnAdd アクションは、ドラッグされたノートが別のファイルからのものであっても、複数項目のドラッグの各項目に適用されます。$OnAdd アクションは、メモがコンテナ内で作成されたとき、または他のコンテナからコンテナに移動されたときに 1 回だけ適用されます。これにより、マップ上でメモを移動するなどのアクションに対して $OnAdd が再適用されなくなり、$OnAdd が再適用された場合にメモに反復効果が生じる可能性があります。メモをコンテナに貼り付けると、$OnAdd アクションが実行されます。\nコンテナの $OnAdd アクションは、新しく作成されたメモとエージェントの両方に作用します。\nエージェントの場合、$OnAdd は $AgentAction に置き換えられます (ただし、スマート装飾品には含まれません)。\n装飾品はわずかに異なる動作を示します。ここで、ノートが装飾内で手動で移動された場合、つまり装飾から離れることがなかった場合、$OnAdd が再トリガーされます。これは、移動により効果的に装飾からノートが取り出され (移動の開始)、移動の終了時にそれが元に戻されるためです。ただし、装飾品の並べ替えや $Xpos/$Ypos を変更する外部アクションによって装飾品内でノートが自動的に移動された場合、装飾品の $OnAdd は再度実行されません。\n現在のメモの $OnAdd (エージェントの場合は $AgentAction) は、[アクション インスペクター] ▸ [アクション] タブのコード入力ボックスで設定できます。
OnJoin,action,(not set - empty string),Composites,Composite configuration,,,,7.0.0,Baseline,,,,,,,,"An action performed when new composite members first touch existing members.\nNotes may have an $OnJoin action. When a note that was not previously a member of a composite is dragged to touch a note with an $OnJoin action, the $OnJoin action is performed on the dragged note. If a note touches more than one note in the composite, each $OnJoin action is performed in turn. \nIn the context of an $OnJoin action, designator 'this' references the note joining the composite whilst 'that' references the note within composite to which it is now adjacent.",新しい複合メンバーが最初に既存のメンバーに接触するときに実行されるアクション。\nメモには $OnJoin アクションがある場合があります。以前はコンポジットのメンバーではなかったノートがドラッグされ、$OnJoin アクションを持つノートにタッチすると、ドラッグされたノートに対して $OnJoin アクションが実行されます。ノートがコンポジット内の複数のノートに触れている場合、各 $OnJoin アクションが順番に実行されます。\n$OnJoin アクションのコンテキストでは、指定子 'this' はコンポジットに結合するノートを参照し、'that' は現在隣接しているコンポジット内のノートを参照します。
OnPaste,action,(not set - empty string),General,Action code,,,,10.1.2,Baseline,,,,,,,,"Action code expression executed when performed when a note is into a document.\nAn OnPaste action is performed when a note is pasted, either into the same document or into a new document. If more than one note was copied, OnPaste is called after this note has been created, but may be called before other notes have been created.\nOnPaste might help when creating an INSTALL ME stamp when copying a self-installing library to a new document.",メモがドキュメントに含まれているときに実行されるアクション コード式。\nOnPaste アクションは、メモが同じ文書または新しい文書に貼り付けられるときに実行されます。複数のノートがコピーされた場合、OnPaste はこのノートの作成後に呼び出されますが、他のノートが作成される前に呼び出される場合もあります。\nOnPaste は、自己インストール ライブラリを新しいドキュメントにコピーするときに INSTALL ME スタンプを作成するときに役立つ場合があります。
OnRemove,action,(not set - empty string),General,Action code,,,,7.0.0,Baseline,,,,,,,,"Action code expression executed when performed when a note is removed from this container.\nThe OnRemove action for agents is applied to the original note, since the alias will be deleted. Note, too, that agents may remove notes and add them again at any time.\nWhen cutting a note, the OnRemove action of its container is applied before the note is copied to the pasteboard.\n$OnRemove for the current note can be set via the Action Inspector ▸ Remove tab, code input box.",このコンテナからメモが削除されたときに実行されるアクション コード式。\nエイリアスが削除されるため、エージェントの OnRemove アクションは元のメモに適用されます。また、エージェントはいつでもメモを削除し、再度追加できることにも注意してください。\nノートをカットする場合、ノートがペーストボードにコピーされる前に、そのコンテナの OnRemove アクションが適用されます。\n現在のノートの $OnRemove は、[アクション インスペクター] ▸ [削除] タブのコード入力ボックスで設定できます。
OnVisit,action,(not set - empty string),Storyspace,Storyspace compatibility,,,,6.3.1,Baseline,,,,,,,,"In Storyspace, an action performed when the reader visits the note.\nThis is honoured in Tinderbox and can be used as an 'OnSelection' event trigger.",ストーリースペースにおいて、読者がノートにアクセスしたときに実行されるアクション。\nこれは Tinderbox で尊重され、「OnSelection」イベント トリガーとして使用できます。
Opacity,number,1,Appearance,Map item general configuration,,,,5.0.0,Baseline,,,,,,,,"Opacity of a note icon in map view.\nThe default opacity value of 1 leaves notes opaque, while an opacity of zero allows the note interior to be transparent.\nThe allowed range of values is 0–1. Prior to v9.7.0, the range was 0–100 but this was changed—see more.\nTranslucency may be useful in some maps with complex link networks, and also permits interesting visual effects.\nN.B. Borders are not translucent.\nContainers and agents are never translucent. If a note was translucent, later becomes a container, and later yet becomes a simple note once more, the note's $Opacity will again control its opacity.\nNotes using some shapes—""cloud"" and ""bubble""—are drawn without borders when translucent. \nThe Interior inspector's, Pattern ▸ translucent option toggles an Opacity value of 0.5.\nBoth $TitleOpacity and $SubtitleOpacity are independent of $Opacity. However, the if higher than the value of $Opacity, the latter value is used when drawing the note.",マップ ビューでのメモ アイコンの不透明度。\nデフォルトの不透明度値 1 ではノートは不透明のままですが、不透明度 0 ではノートの内部が透明になります。\n値の許容範囲は 0 ～ 1 です。v9.7.0 より前では、範囲は 0 ～ 100 でしたが、これは変更されました。詳細を参照してください。\n半透明は、複雑なリンク ネットワークを含む一部のマップで役立つ場合があり、興味深い視覚効果も可能になります。\n注：枠線は半透明ではありません。\nコンテナーとエージェントは決して半透明ではありません。メモが半透明で、後でコンテナになり、その後再び単純なメモになる場合、メモの $Opacity は再びその不透明度を制御します。\n「雲」や「泡」などの一部の形状を使用したメモは、半透明の場合は枠線なしで描画されます。\nインテリアインスペクタの「パターン」▸「半透明」オプションにより、不透明度の値が 0.5 に切り替わります。\n$TitleOpacity と $SubtitleOpacity はどちらも $Opacity から独立しています。ただし、$Opacity の値より大きい場合は、注記を描画するときに後者の値が使用されます。
Organization,string,(not set - empty string),People,Person detail,,,,3.5.1,Baseline,,,,,,,,Intended for storing the a person's company or organisation name.,個人の会社名または組織名を保存することを目的としています。
OutboundLinkCount,number,(calculated),General,Calculated data,,true,true,3.0.0,Baseline,,,,,,,,"Number of outbound links originating from the current note (read-only).\nThe count includes both outbound basic and text links. Discrete totals are also calculated for outbound basic links ($PlainLinkCount) and for outbound text links ($TextLinkCount). However, any Web links are counted completely separately in $WebLinkCount.\nSee also $InboundLinkCount.\nThe link count always excludes any links of type ""Prototype"".",現在のノートから発信されるアウトバウンドリンクの数 (読み取り専用)。\nカウントには、送信基本リンクとテキスト リンクの両方が含まれます。個別の合計は、送信基本リンク ($PlainLinkCount) および送信テキスト リンク ($TextLinkCount) についても計算されます。ただし、Web リンクは $WebLinkCount で完全に個別にカウントされます。\n「$InboundLinkCount」も参照してください。\nリンク数には、タイプ「プロトタイプ」のリンクは常に除外されます。
OutlineBackgroundColor,color,automatic,Outline,Outline configuration,,,,5.5.0,Baseline,,,,,,,,"Colour used as background colour of the selected note(s) listing in Outline view.\nThe colour is carried across the width of the view including checkbox and column display areas.\nWith the default value of ""automatic"" the colour used is simply the same as $MapBackgroundColor; the inside is outline checkboxes is always shown in grey.",アウトライン ビューで選択したメモのリストの背景色として使用される色。\n色は、チェックボックスや列の表示領域を含むビューの幅全体に渡されます。\nデフォルト値の「automatic」では、使用される色は単に $MapBackgroundColor と同じです。内側のチェックボックスは常に灰色で表示されます。
OutlineColorSwatch,boolean,false,Outline,Outline configuration,,,,4.0.0,Baseline,,,,,,,,"Use a colour swatch in Outline view instead of a badge.\nControls whether a note in Outline View shows a colour swatch between the note icon and its title. If true the swatch is drawn in $Color.\nIt occupies the same space as a badge and is suppressed if a $Badge is set\nThis attribute enables outlines to show simple progress bars. If the latter pattern is used, the swatch is drawn in $Color and $AccentColor.\nThis feature is deprecated, in favour of using flags in outlines.",アウトライン ビューでバッジの代わりに色見本を使用します。\nアウトライン ビューのノートに、ノート アイコンとそのタイトルの間に色見本を表示するかどうかを制御します。true の場合、スウォッチは $Color で描画されます。\nバッジと同じスペースを占有し、$Badge が設定されている場合は抑制されます。\nこの属性により、アウトラインに単純な進行状況バーを表示できるようになります。後者のパターンが使用される場合、スウォッチは $Color と $AccentColor で描画されます。\nこの機能は非推奨となり、アウトラインでフラグを使用することが推奨されます。
OutlineDepth,number,(calculated),General,Calculated data,,true,true,2.1.0,Baseline,,,,,,,,"Number of outline levels between a note and the document root (read-only).\nActually, it is 1 + the number as 'top-level' notes have $OutlineDepth of 1, notes inside a top-level container have $OutlineDepth of 2, and so forth.\nAliases do not inherit this property from their original but have their own intrinsic value.",メモとドキュメント ルート間のアウトライン レベルの数 (読み取り専用)。\n「トップレベル」ノートの $OutlineDepth は 1、トップレベル コンテナ内のノートの $OutlineDepth は 2 などであるため、実際には 1 + 数値になります。\nエイリアスは元のエイリアスからこのプロパティを継承しませんが、独自の固有の値を持っています。
OutlineNameSize,number,100,Outline,Outline configuration,,,,8.2.2,Baseline,,,,,,,true,"Adjust the relative size of note title ($Name) text in Outline/Chart/Timeline views.\nThe default is 100 (%).\nThe base font size of outline items (usually 14pt) is set in the Maps tab of Document Settings, or via the Text Inspector's Title tab (allowed values are described there).\nThis setting does not affect the line weight of separators, only the text height of the line they occupy (to allow for a text label even if not used).\nThis is a rename/replacement of $OutlineTextSize.\nThe rename mirrors the renaming of $MapTextSize to $MapNameSize. \nThe old names are deprecated but will continue to function.",アウトライン/チャート/タイムラインビューでノートタイトル ($Name) テキストの相対的なサイズを調整します。\nデフォルトは 100 (%) です。\nアウトライン項目の基本フォント サイズ (通常は 14pt) は、ドキュメント設定の [マップ] タブ、またはテキスト インスペクターの [タイトル] タブで設定します (許可される値はそこに記載されています)。\nこの設定はセパレーターの線の太さには影響せず、セパレーターが占める行のテキストの高さのみに影響します (テキスト ラベルを使用しない場合でも許可するため)。\nこれは、$OutlineTextSize の名前変更/置換です。\n名前の変更は、$MapTextSize の名前変更を $MapNameSize に反映します。\n古い名前は廃止されましたが、引き続き機能します。
OutlineOrder,number,(calculated),General,Calculated data,,true,true,1.2.0,Baseline,,,,,,,,"Sequential position in the overall document hierarchy (read-only).\nIt can be used by agents to judge the position of a note within the document. Note that some items not displayed in the Outline view, such as adornments, are still included in the $OutlineOrder. This should be borne in mind if doing calculations based on comparing sibling $OutlineOrder values as the 'next' item may not be a note (and there is no way to test this fact).\nThe order of notes within the current container is shown by $SiblingOrder.\nThe lowest number is drawn at the front in a map. If notes with outline orders #1 and #5 overlap, part of #5 will be behind the icon for #1.\nThe note menu command to move a note forward/backward or all the way to the back/front will alter both $OutlineOrder and $SiblingOrder for the affected note(s).\nAliases do not inherit this property from their original but have their own value.",ドキュメント階層全体における連続した位置 (読み取り専用)。\nエージェントはこれを使用して、文書内のメモの位置を判断できます。装飾品など、アウトライン ビューに表示されない一部のアイテムも $OutlineOrder に含まれていることに注意してください。「次の」項目として兄弟の $OutlineOrder 値の比較に基づいて計算を行う場合、メモにならない可能性がある (そしてこの事実をテストする方法がない) 場合、これに留意する必要があります。\n現在のコンテナ内のノートの順序は、$SiblingOrder によって示されます。\n最小の番号は地図の先頭に描かれます。アウトライン順序 #1 と #5 のノートが重なる場合、#5 の一部が #1 のアイコンの後ろになります。\nノートを前後に移動したり、最後まで移動したりするノート メニュー コマンドは、影響を受けるノートの $OutlineOrder と $SiblingOrder の両方を変更します。\nエイリアスはこのプロパティを元のエイリアスから継承しませんが、独自の値を持ちます。
OutlineTextSize,number,100,Outline,Outline configuration,,,,3.5.0,Baseline,,,,,,,,"Deprecated: use $OutlineTextSize instead.\nThe default is 100 (%).\nAdjust the relative size of note title ($Name) text in Outline/Chart/Timeline views.\nThe base font size of outline items (usually 14pt) is set in the Maps tab of Document Settings, or via the Text Inspector's Title tab (allowed values are described there).\nThis setting does not affect the line weight of separators, only the text height of the line they occupy (to allow for a text label even if not used).",非推奨: 代わりに $OutlineTextSize を使用してください。\nデフォルトは 100 (%) です。\nアウトライン/チャート/タイムラインビューでノートタイトル ($Name) テキストの相対的なサイズを調整します。\nアウトライン項目の基本フォント サイズ (通常は 14pt) は、ドキュメント設定の [マップ] タブ、またはテキスト インスペクターの [タイトル] タブで設定します (許可される値はそこに記載されています)。\nこの設定はセパレーターの線の太さには影響せず、セパレーターが占める行のテキストの高さのみに影響します (テキスト ラベルを使用しない場合でも許可するため)。
Pages,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'SP'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「SP」にマップします。
ParagraphSpacing,number,8,TextFormat,Note text,true,,,3.0.0,Baseline,,,,,,,true,"Sets paragraph spacing for individual notes.\nThe default value of $ParagraphSpacing is set in the Text pane of Document Settings.\n$ParagraphSpacing can be set for the current note via the Text Inspector ▸ Text tab, 'Paragraph Spacing' control.",個々のノートの段落間隔を設定します。\n$ParagraphSpacing のデフォルト値は、ドキュメント設定のテキスト ペインで設定されます。\n$ParagraphSpacing は、テキスト インスペクター ▸ テキスト タブの [段落間隔] コントロールを使用して現在のノートに設定できます。
Participants,set,(not set - empty string),Events,,,,,9.5.2,Baseline,,,,,,,,A listing of an event's participants.\nSee Calendar event drag-drop.,イベントの参加者のリスト。\n「カレンダー イベントのドラッグ ドロップ」を参照してください。
Path,string,(calculated),General,Calculated data,,true,true,4.6.0,Baseline,,,,,,,,"Contains the path from the root of the document to the note (read-only).\nFor example, if the document contains the following notes:\n\nTo Do\n    Bank\n    Post Office\n    Garden\n        Weeding\nDone\n    Tax\nthen the $Path of note 'Weeding' would be:\n/To Do/Garden/Weeding \nNote that this is the full path, including the current notes name. A full path always starts with a '/' character.\n$Path is identified as intrinsic.",ドキュメントのルートからメモまでのパスが含まれます (読み取り専用)。\nたとえば、文書に次のようなメモが含まれているとします。\n\nやるべきこと\n銀行\n郵便局\n庭園\n草取り\n完了\n税金\nこの場合、注目の $Path 'Weeding' は次のようになります。\n/やること/庭/草むしり\nこれは現在のノート名を含むフルパスであることに注意してください。フルパスは常に「/」文字で始まります。\n$Path は組み込みとして識別されます。
Pattern,string,plain,Appearance,Map item general configuration,,,,2.3.1,Baseline,,,,,,,true,"Optional pattern to be drawn on the face of icons in Map view.\n$Pattern may be set for the current note via the Appearance Inspector ▸ Interior tab, 'Pattern' control: for plot-style $Pattern values us the Appearance Inspector ▸ Plot tab, 'Pattern' control instead.\nThese patterns look best when the two colours are similar but not identical. The keywords are case-sensitive. The current default is 'plain'.\nIf $Pattern is plain no pattern is applied and the note face is drawn in solid $Color.\nIf $Pattern is lines, the face of the note is filled with alternative horizontal lines of $Color and $AccentColor.\nIf $Pattern is gradient, the face of the note is filled with a linear colour gradient, top to bottom, from $Color to $AccentColor.\nIf $Pattern is diagonal, the face of the note is filled with a linear colour gradient, running from upper-left to lower-right corner, from $Color to $AccentColor.\nIf $Pattern is cylinder, the face of the note is filled with a cylindrical gradient, running from $Color at the top through $AccentColor at the midpoint, and then to $Color again at the bottom.\nIf $Pattern is radial, the face of the note is a graduation from $Color at 1/3 in from top-left through $AccentColor toward all edges.\nIf $Pattern is not set (empty string), no pattern is applied and equating to plain.\nThe remaining seven patterns cannot be set via the Pattern menu. Rather they are set via manual editing of this attribute (Info view, Displayed Attributes) or via actions, rules, stampstc., acting upon it. These patterns are:\n* bar(). The draws as a horizontal 'progress bar', using $Color and $AccentColor. The 'progress' block is drawn in $AccentColor.\n* vbar(). The draws as a vertical 'progress bar', using $Color and $AccentColor. The 'progress' block is drawn in $AccentColor.\n* 5 patterns only used for Map view container plots:\n** bargraph().\n** plot().\n** xyplot().\n** ring().\n** pie().",マップビューのアイコンの表面に描画されるオプションのパターン。\n$Pattern は、外観インスペクター ▸ インテリア タブの 'パターン' コントロールを介して現在のノートに設定できます。プロット スタイルの $Pattern 値の場合は、代わりに外観インスペクター ▸ プロット タブの 'パターン' コントロールを使用します。\nこれらのパターンは、2 つの色が似ていても同じではない場合に最もよく見えます。キーワードでは大文字と小文字が区別されます。現在のデフォルトは「プレーン」です。\n$Pattern が無地の場合、パターンは適用されず、音符の面は単色の $Color で描画されます。\n$Pattern が線の場合、メモの表面は $Color と $AccentColor の交互の水平線で塗りつぶされます。\n$Pattern がグラデーションの場合、メモの面は、$Color から $AccentColor まで、上から下への線形カラー グラデーションで塗りつぶされます。\n$Pattern が斜めの場合、メモの面は、左上隅から右下隅、$Color から $AccentColor まで続く線形の色のグラデーションで塗りつぶされます。\n$Pattern が円柱の場合、メモの面は、上部の $Color から中間点の $AccentColor まで、そして再び下部の $Color まで続く円柱状のグラデーションで塗りつぶされます。\n$Pattern が放射状の場合、メモの面は、$Color から 1/3 インチで左上から $AccentColor を通ってすべての端に向かって目盛りになります。\n$Pattern が設定されていない場合 (空の文字列)、パターンは適用されず、プレーンと同等になります。\n残りの 7 つのパターンは、パターン メニューからは設定できません。むしろ、これらは、この属性 (情報ビュー、表示属性) の手動編集を介して、またはそれに基づいて動作するアクション、ルール、スタンプを介して設定されます。これらのパターンは次のとおりです。\n* バー()。$Color と $AccentColor を使用して、水平の「進行状況バー」として描画します。「進行状況」ブロックは $AccentColor で描画されます。\n* vbar()。$Color と $AccentColor を使用して、垂直の「進行状況バー」として描画します。「進行状況」ブロックは $AccentColor で描画されます。\n* マップ ビューのコンテナー プロットにのみ使用される 5 つのパターン:\n** 棒グラフ()。\n** プロット()。\n** xyplot()。\n** 指輪（）。\n**パイ()。
PlainLinkCount,number,(calculated),General,Calculated data,,true,true,5.12.1,Baseline,,,,,,,,"Holds the number of outbound basic links.\nAlso see $TextLinkCount, $WebLinkCount, $OutboundLinkCount.",アウトバウンド基本リンクの数を保持します。\n$TextLinkCount、$WebLinkCount、$OutboundLinkCount も参照してください。
PlotBackgroundColor,color,white,Map,Map configuration,,,,5.10.2,Baseline,,,,,,,true,"Colour of the plot background when a map container plot is configured.\nIf the container has a pattern such as plot/bargraph/xyplot), before the graph is drawn the space behind the plot is filled with the colour $PlotBackgroundColor with opacity of $PlotBackgroundOpacity. Previously the background was that of the child map.\n$PlotBackgroundColor for the current note may be set via the Appearance Inspector ▸ Plot tab, 'Background' colour controls.",マップ コンテナー プロットが構成されている場合のプロットの背景の色。\nコンテナーに、plot/bargraph/xyplot などのパターンがある場合、グラフが描画される前に、プロットの背後のスペースが $PlotBackgroundOpacity の不透明度を持つ色 $PlotBackgroundColor で塗りつぶされます。以前は、背景は子マップの背景でした。\n現在のノートの $PlotBackgroundColor は、[外観インスペクター] ▸ [プロット] タブの [背景] カラー コントロールで設定できます。
PlotBackgroundOpacity,number,0.5,Map,Map configuration,,,,5.10.2,Baseline,,,,,,,true,"Opacity of background colour to the plot when a map container plot is configured.\nThe allowed range of values is 0–1. Prior to v9.7.0, the range was 0–100 but this was changed—see more.\nIf the container has a pattern such as plot/bargraph/xyplot), before the graph is drawn, the space behind the plot is filled with the colour $PlotBackgroundColor with opacity of $PlotBackgroundOpacity. Previously the background was that of the child map.\n$PlotBackgroundOpacity for the current note may be set via the Appearance Inspector ▸ Plot tab, 'Background' slider control.",マップ コンテナー プロットが構成されている場合のプロットの背景色の不透明度。\n値の許容範囲は 0 ～ 1 です。v9.7.0 より前では、範囲は 0 ～ 100 でしたが、これは変更されました。詳細を参照してください。\nコンテナーに、plot/bargraph/xyplot などのパターンがある場合、グラフが描画される前に、プロットの背後のスペースが $PlotBackgroundOpacity の不透明度を持つ色 $PlotBackgroundColor で塗りつぶされます。以前は、背景は子マップの背景でした。\n現在のノートの $PlotBackgroundOpacity は、[外観インスペクター] ▸ [プロット] タブの [背景] スライダー コントロールを介して設定できます。
PlotColor,color,light green,Appearance,Map item general configuration,,,,4.5.0,Baseline,,,,,,,true,"Colour used to draw plots in containers.\n$PlotColor for the current note may be set via the Appearance Inspector ▸ Plot tab, 'Plot Color' colour controls.",コンテナ内にプロットを描画するために使用される色。\n現在のノートの $PlotColor は、[外観インスペクター] ▸ [プロット] タブの [プロット カラー] カラー コントロールで設定できます。
PlotColorList,list,2;7;3;8;4;9;0;5;1;6,Map,Map item general configuration,,,,6.2.1,Baseline,,,,,,,,"A list of colours to be used in this note's pie charts.\nThe default value is the list [2;7;3;8;4;9;0;5;1;6], using the default built-in numbered greyscale colours. The first colour designates the colour of the first segment, and remaining colours in the list are used in rotation until all segments have been drawn. If the list contains fewer than two colours, the list [black;white] is used instead.\nAs a List-type attribute, this can take a list of values of any defined system/user colour names, such as might be generated by collect(children,$Color).","このノートの円グラフで使用される色のリスト。\nデフォルト値はリスト [2;7;3;8;4;9;0;5;1;6] で、デフォルトの組み込みの番号付きグレースケール色が使用されます。最初の色は最初のセグメントの色を指定し、すべてのセグメントが描画されるまでリスト内の残りの色が順番に使用されます。リストに含まれる色が 2 色未満の場合は、代わりにリスト [黒;白] が使用されます。\nリスト タイプの属性として、これは、collect(children,$Color) によって生成されるような、定義されたシステム/ユーザー カラー名の値のリストを取ることができます。"
PostalCode,string,(not set - empty string),Places,Locational data,,,,6.0.0,Baseline,,,,,,,,The Postal Code field of an address.\nThe automatic geocoding tries to supply these fields automatically when looking up the supplied $Address.\nThe date type is a string as not all countries use number-only postal/zip codes.,住所の郵便番号フィールド。\n自動ジオコーディングは、指定された $Address を検索するときに、これらのフィールドを自動的に指定しようとします。\nすべての国が数字のみの郵便番号を使用しているわけではないため、日付タイプは文字列です。
PosterCSS,string,(not set - empty string),Poster,Poster configuration,,,,9.6.0,Baseline,,,,,,,,"Holds CSS rules to apply to the poster.\nThis holds CSS rules that are applied to the note's poster, whether generated via a template or called via a URL.",ポスターに適用する CSS ルールを保持します。\nこれには、テンプレート経由で生成されたか、URL 経由で呼び出されたかに関係なく、ノートのポスターに適用される CSS ルールが保持されます。
